2019-10-19 20:10:02 - root - spider: Comment count: 10
2019-10-19 20:10:03 - root - spider: Comment count: 10
2019-10-19 20:10:04 - root - spider: Comment count: 10
2019-10-19 20:10:04 - root - spider: Comment count: 10
2019-10-19 20:10:04 - root - spider: Comment count: 10
2019-10-19 20:10:06 - root - spider: Comment count: 10
2019-10-19 20:10:06 - root - spider: Comment count: 10
2019-10-19 20:10:06 - root - spider: Comment count: 10
2019-10-19 20:10:07 - root - spider: Comment count: 10
2019-10-19 20:10:08 - root - spider: Comment count: 10
2019-10-19 20:10:08 - root - spider: Comment count: 10
2019-10-19 20:10:09 - root - spider: Comment count: 10
2019-10-19 20:10:09 - root - spider: Comment count: 10
2019-10-19 20:10:10 - root - spider: Comment count: 10
2019-10-19 20:10:11 - root - spider: Comment count: 10
2019-10-19 20:10:11 - root - spider: Comment count: 10
2019-10-19 20:10:12 - root - spider: Comment count: 10
2019-10-19 20:10:13 - root - spider: Comment count: 10
2019-10-19 20:10:13 - root - spider: Comment count: 10
2019-10-19 20:10:14 - root - spider: Comment count: 10
2019-10-19 20:10:14 - root - spider: Comment count: 10
2019-10-19 20:10:15 - root - spider: Comment count: 10
2019-10-19 20:10:15 - root - spider: Comment count: 10
2019-10-19 20:10:16 - root - spider: Comment count: 10
2019-10-19 20:10:16 - root - spider: Comment count: 10
2019-10-19 20:10:17 - root - spider: Comment count: 10
2019-10-19 20:10:18 - root - spider: Comment count: 10
2019-10-19 20:10:18 - root - spider: Comment count: 10
2019-10-19 20:10:18 - root - spider: Comment count: 10
2019-10-19 20:10:19 - root - spider: Comment count: 10
2019-10-19 20:10:19 - root - spider: Comment count: 10
2019-10-19 20:10:20 - root - spider: Comment count: 10
2019-10-19 20:10:20 - root - spider: Comment count: 10
2019-10-19 20:10:21 - root - spider: Comment count: 10
2019-10-19 20:10:21 - root - spider: Comment count: 10
2019-10-19 20:10:22 - root - spider: Comment count: 10
2019-10-19 20:10:22 - root - spider: Comment count: 10
2019-10-19 20:10:23 - root - spider: Comment count: 10
2019-10-19 20:10:23 - root - spider: Comment count: 10
2019-10-19 20:10:23 - root - spider: Comment count: 10
2019-10-19 20:10:24 - root - spider: Comment count: 10
2019-10-19 20:10:24 - root - spider: Comment count: 10
2019-10-19 20:10:25 - root - spider: Comment count: 10
2019-10-19 20:10:25 - root - spider: Comment count: 10
2019-10-19 20:10:26 - root - spider: Comment count: 10
2019-10-19 20:10:26 - root - spider: Comment count: 10
2019-10-19 20:10:26 - root - spider: Comment count: 10
2019-10-19 20:10:27 - root - spider: Comment count: 10
2019-10-19 20:10:27 - root - spider: Comment count: 10
2019-10-19 20:10:28 - root - spider: Comment count: 10
2019-10-19 20:10:28 - root - spider: Comment count: 10
2019-10-19 20:10:28 - root - spider: Comment count: 10
2019-10-19 20:10:29 - root - spider: Comment count: 10
2019-10-19 20:10:30 - root - spider: Comment count: 10
2019-10-19 20:10:30 - root - spider: Comment count: 10
2019-10-19 20:10:30 - root - spider: Comment count: 10
2019-10-19 20:10:31 - root - spider: Comment count: 10
2019-10-19 20:10:31 - root - spider: Comment count: 10
2019-10-19 20:10:31 - root - spider: Comment count: 10
2019-10-19 20:10:32 - root - spider: Comment count: 10
2019-10-19 20:10:33 - root - spider: Comment count: 10
2019-10-19 20:10:33 - root - spider: Comment count: 10
2019-10-19 20:10:33 - root - spider: Comment count: 10
2019-10-19 20:10:33 - root - spider: Comment count: 10
2019-10-19 20:10:34 - root - spider: Comment count: 10
2019-10-19 20:10:35 - root - spider: Comment count: 10
2019-10-19 20:10:35 - root - spider: Comment count: 10
2019-10-19 20:10:35 - root - spider: Comment count: 10
2019-10-19 20:10:36 - root - spider: Comment count: 10
2019-10-19 20:10:36 - root - spider: Comment count: 10
2019-10-19 20:10:37 - root - spider: Comment count: 10
2019-10-19 20:10:37 - root - spider: Comment count: 10
2019-10-19 20:10:38 - root - spider: Comment count: 10
2019-10-19 20:10:38 - root - spider: Comment count: 10
2019-10-19 20:10:38 - root - spider: Comment count: 10
2019-10-19 20:10:38 - root - spider: Comment count: 10
2019-10-19 20:10:40 - root - spider: Comment count: 10
2019-10-19 20:10:40 - root - spider: Comment count: 10
2019-10-19 20:10:40 - root - spider: Comment count: 10
2019-10-19 20:10:40 - root - spider: Comment count: 10
2019-10-19 20:10:41 - root - spider: Comment count: 10
2019-10-19 20:10:42 - root - spider: Comment count: 10
2019-10-19 20:10:42 - root - spider: Comment count: 10
2019-10-19 20:10:42 - root - spider: Comment count: 10
2019-10-19 20:10:43 - root - spider: Comment count: 10
2019-10-19 20:10:44 - root - spider: Comment count: 10
2019-10-19 20:10:44 - root - spider: Comment count: 10
2019-10-19 20:10:44 - root - spider: Comment count: 10
2019-10-19 20:10:45 - root - spider: Comment count: 10
2019-10-19 20:10:46 - root - spider: Comment count: 10
2019-10-19 20:10:46 - root - spider: Comment count: 10
2019-10-19 20:10:46 - root - spider: Comment count: 10
2019-10-19 20:10:47 - root - spider: Comment count: 10
2019-10-19 20:10:47 - root - spider: Comment count: 10
2019-10-19 20:10:48 - root - spider: Comment count: 10
2019-10-19 20:10:48 - root - spider: Comment count: 10
2019-10-19 20:10:48 - root - spider: Comment count: 10
2019-10-19 20:10:49 - root - spider: Comment count: 10
2019-10-19 20:10:49 - root - spider: Comment count: 10
2019-10-19 20:10:50 - root - spider: Comment count: 10
2019-10-19 20:10:50 - root - spider: Comment count: 10
2019-10-19 20:10:51 - root - spider: Comment count: 10
2019-10-19 20:10:51 - root - spider: Comment count: 10
2019-10-19 20:10:51 - root - spider: Comment count: 10
2019-10-19 20:10:52 - root - spider: Comment count: 10
2019-10-19 20:10:53 - root - spider: Comment count: 10
2019-10-19 20:10:53 - root - spider: Comment count: 10
2019-10-19 20:10:53 - root - spider: Comment count: 10
2019-10-19 20:10:54 - root - spider: Comment count: 10
2019-10-19 20:10:55 - root - spider: Comment count: 10
2019-10-19 20:10:55 - root - spider: Comment count: 10
2019-10-19 20:10:55 - root - spider: Comment count: 10
2019-10-19 20:10:56 - root - spider: Comment count: 10
2019-10-19 20:10:56 - root - spider: Comment count: 10
2019-10-19 20:10:57 - root - spider: Comment count: 10
2019-10-19 20:10:57 - root - spider: Comment count: 10
2019-10-19 20:10:58 - root - spider: Comment count: 10
2019-10-19 20:10:58 - root - spider: Comment count: 10
2019-10-19 20:10:59 - root - spider: Comment count: 10
2019-10-19 20:10:59 - root - spider: Comment count: 10
2019-10-19 20:11:00 - root - spider: Comment count: 10
2019-10-19 20:11:00 - root - spider: Comment count: 10
2019-10-19 20:11:00 - root - spider: Comment count: 10
2019-10-19 20:11:01 - root - spider: Comment count: 10
2019-10-19 20:11:01 - root - spider: Comment count: 10
2019-10-19 20:11:02 - root - spider: Comment count: 10
2019-10-19 20:11:02 - root - spider: Comment count: 10
2019-10-19 20:11:03 - root - spider: Comment count: 10
2019-10-19 20:11:03 - root - spider: Comment count: 10
2019-10-19 20:11:04 - root - spider: Comment count: 10
2019-10-19 20:11:04 - root - spider: Comment count: 10
2019-10-19 20:11:05 - root - spider: Comment count: 10
2019-10-19 20:11:05 - root - spider: Comment count: 10
2019-10-19 20:11:06 - root - spider: Comment count: 10
2019-10-19 20:11:06 - root - spider: Comment count: 10
2019-10-19 20:11:07 - root - spider: Comment count: 10
2019-10-19 20:11:07 - root - spider: Comment count: 10
2019-10-19 20:11:08 - root - spider: Comment count: 10
2019-10-19 20:11:08 - root - spider: Comment count: 10
2019-10-19 20:11:08 - root - spider: Comment count: 10
2019-10-19 20:11:09 - root - spider: Comment count: 10
2019-10-19 20:11:10 - root - spider: Comment count: 10
2019-10-19 20:11:10 - root - spider: Comment count: 10
2019-10-19 20:11:10 - root - spider: Comment count: 10
2019-10-19 20:11:11 - root - spider: Comment count: 10
2019-10-19 20:11:12 - root - spider: Comment count: 10
2019-10-19 20:11:12 - root - spider: Comment count: 10
2019-10-19 20:11:13 - root - spider: Comment count: 10
2019-10-19 20:11:13 - root - spider: Comment count: 10
2019-10-19 20:11:13 - root - spider: Comment count: 10
2019-10-19 20:11:14 - root - spider: Comment count: 10
2019-10-19 20:11:14 - root - spider: Comment count: 10
2019-10-19 20:11:15 - root - spider: Comment count: 10
2019-10-19 20:11:15 - root - spider: Comment count: 10
2019-10-19 20:11:16 - root - spider: Comment count: 10
2019-10-19 20:11:16 - root - spider: Comment count: 10
2019-10-19 20:11:17 - root - spider: Comment count: 10
2019-10-19 20:11:17 - root - spider: Comment count: 10
2019-10-19 20:11:18 - root - spider: Comment count: 10
2019-10-19 20:11:18 - root - spider: Comment count: 10
2019-10-19 20:11:18 - root - spider: Comment count: 10
2019-10-19 20:11:19 - root - spider: Comment count: 10
2019-10-19 20:11:20 - root - spider: Comment count: 10
2019-10-19 20:11:20 - root - spider: Comment count: 10
2019-10-19 20:11:20 - root - spider: Comment count: 10
